,site_id,product_id,category_id
0,420,2573916522,873202
1,420,2574226585,873224
2,420,2585316813,873244
3,420,2573916527,873202
4,420,2612144294,3115485
5,420,2573916512,873202
6,420,2585871057,873232
7,420,2614237826,873816
8,420,2612144294,2987633
9,420,2594324879,873234
10,420,2573916539,873202
11,420,2573916536,873202
12,420,2591017473,3168347
13,420,2573929833,873960
14,420,2581631424,873816
15,420,2581631425,873808
16,420,2581631392,873827
17,420,2573916537,873830
18,420,2581631393,873814
19,420,2581631394,873814
20,420,2573916531,873172
21,420,2594324882,2796250
22,420,2581631395,873827
23,420,2573916541,873252
24,420,2591017472,873893
25,420,2573916532,873172
26,420,2612144294,2987634
27,420,2573916511,873202
28,420,2581631396,873814
29,420,2573916506,873172
30,420,2573916507,873172
31,420,2573916490,873172
32,420,2581631397,873827
33,420,2573916535,873202
34,420,2573916488,873960
35,420,2573916509,873172
36,420,2573916541,873968
37,420,2581631398,873816
38,420,2616337506,873828
39,420,2573916493,873252
40,420,2573917219,873843
41,420,2581647989,873845
42,420,2573916504,873202
43,420,2614237824,873897
44,420,2573916494,873855
45,420,2573916499,873252
46,420,2581631399,873827
47,420,2581631400,873816
48,420,2573916495,873855
49,420,2573916493,873968
50,420,2573916482,873232
51,420,2573916496,873252
52,420,2581631401,873816
53,420,2581631402,873816
54,420,2573916499,873968
55,420,2573916496,873968
56,420,2616337506,873255
57,420,2573916481,873172
58,420,2573916497,873968
59,420,2573916501,873838
60,420,2573916497,873252
61,420,2573916502,873960
62,420,2608773528,873973
63,420,2573916500,873252
64,420,2573916500,873968
65,420,2573916475,873968
66,420,2581647991,873845
67,420,2581647995,873845
68,420,2581647919,873843
69,420,2594324880,873234
70,420,2608773526,873232
71,420,2573916510,873172
72,420,2594324881,3115486
73,420,2573916458,873828
74,420,2594324881,873909
75,420,2581647922,873843
76,420,2573916503,873172
77,420,2573916462,873828
78,420,2608773526,873959
79,420,2573916624,873244
80,420,2581631403,873816
81,420,2608773527,873234
82,420,2608773527,873942
83,420,2608773524,873232
84,420,2573916455,873843
85,420,2573916474,873855
86,420,2594389834,873814
87,420,2608773524,873959
88,420,2608773525,873234
89,420,2573915426,873843
90,420,2573916479,873855
91,420,2573916460,873828
92,420,2573916450,873828
93,420,2573916448,873828
94,420,2573916476,873855
95,420,2573915424,873843
96,420,2573916477,873855
97,420,2578500040,873845
98,420,2578500041,873845
99,420,2573916634,873910
100,420,2578500042,873845
101,420,2578500043,873845
102,420,2573916430,873172
103,420,2573916449,873828
104,420,2573916440,873172
105,420,2573916666,873219
106,420,2573916435,873172
107,420,2573916432,873172
108,420,2573916454,873828
109,420,2578500044,873845
110,420,2578500045,873845
111,420,2582693521,873843
112,420,2573916452,873828
113,420,2573916453,873828
114,420,2573916951,873922
115,420,2573916948,873921
116,420,2573916475,873252
117,420,2573916240,873823
118,420,2582693516,873843
119,420,2573916241,873823
120,420,2608773525,873942
121,420,2573916667,873812
122,420,2575215267,2832290
123,420,2573916665,873812
124,420,2582327170,873232
125,420,2573916671,873209
126,420,2573916473,873828
127,420,2573916669,873812
128,420,2573916662,873812
129,420,2573916466,873828
130,420,2573916368,873922
131,420,2581004217,873845
132,420,2573916467,873828
133,420,2573916471,873828
134,420,2573916469,873828
135,420,2581631404,873816
136,420,2573916617,873248
137,420,2573916273,873249
138,420,2581631405,873816
139,420,2573916277,873249
140,420,2573916428,873827
141,420,2573916670,873815
142,420,2573916418,873814
143,420,2582327169,873232
144,420,2573916419,873828
145,420,2582912921,873843
146,420,2580811438,873843
147,420,2608773522,873234
148,420,2573916552,873968
149,420,2573916663,873815
150,420,2573916417,873827
151,420,2580811439,873843
152,420,2573916442,873827
153,420,2573916545,873968
154,420,2573916443,873827
155,420,2573916410,873961
156,420,2573916408,873961
157,420,2573916407,873961
158,420,2573916441,873814
159,420,2573916447,873828
160,420,2573916444,873827
161,420,2573916379,873249
162,420,2573916630,873224
163,420,2573916377,873249
164,420,2573916298,873249
165,420,2573916296,873249
166,420,2588671702,873841
167,420,2573916631,873224
168,420,2573916445,873827
169,420,2608773522,873942
170,420,2588671701,873830
171,420,2573916257,873981
172,420,2622793382,3168347
173,420,2583176642,873841
174,420,2582327168,874090
175,420,2622798452,873840
176,420,2594389833,873828
177,420,2583176642,873902
178,420,2622798452,3115499
179,420,2573916261,873968
180,420,2608773523,873232
181,420,2622798453,873860
182,420,2573916272,873968
183,420,2573916582,873823
184,420,2608773523,873959
185,420,2573916295,873249
186,420,2573916319,873249
187,420,2573922315,873224
188,420,2573931488,873224
189,420,2608773520,873895
190,420,2573916576,873968
191,420,2573916577,873968
192,420,2573919560,873868
193,420,2583176645,873841
194,420,2583176645,873902
195,420,2581321291,873843
